Document,errors,word count,existing word count,error rate,grade
AR-030-268469,50,169,150,0.2958579881656805,B1
AR-030-386369,30,152,150,0.19736842105263158,B2
AR-030-81027,14,40,0,0.35,A2
AR-030-81757,89,244,200,0.36475409836065575,B2
AR-030-83625,2,7,0,0.2857142857142857,Unassessable
AR-030-85891,8,36,0,0.2222222222222222,A2
AR-030-87953,34,155,150,0.21935483870967742,B1
AR-030-89249,31,98,50,0.3163265306122449,B1
AR-030-89881,5,40,0,0.125,B1
AR-030-90528,50,156,150,0.32051282051282054,A2
AR-030-92524,63,177,150,0.3559322033898305,B1
AR-030-92800,15,56,50,0.26785714285714285,B1
AR-030-93360,91,208,200,0.4375,B2
AR-030-96339,62,153,150,0.40522875816993464,B1
AR-030-96683,46,158,150,0.2911392405063291,B1
AR-030-97791,55,141,100,0.3900709219858156,B1
AR-130-119813,8,36,0,0.2222222222222222,A2
AR-130-119831,7,35,0,0.2,Unassessable
AR-130-121991965,38,109,100,0.3486238532110092,B1
AR-130-165859,10,89,50,0.11235955056179775,B2
AR-130-165949,22,139,100,0.15827338129496402,B1
AR-130-168718,61,188,150,0.324468085106383,B2
AR-130-186196,62,182,150,0.34065934065934067,B1
AR-130-187968,49,222,200,0.22072072072072071,B1
AR-130-188359,19,54,50,0.35185185185185186,B1
AR-130-188826,39,177,150,0.22033898305084745,B2
AR-130-188847,8,73,50,0.1095890410958904,B1
AR-130-188945,24,103,100,0.23300970873786409,A2
AR-130-189349,72,212,200,0.33962264150943394,B2
AR-130-189525,28,96,50,0.2916666666666667,B1
AR-130-189611,28,174,150,0.16091954022988506,B1
AR-130-189750,30,158,150,0.189873417721519,B1
AR-130-189799,31,158,150,0.1962025316455696,B1
AR-130-189921,41,128,100,0.3203125,B1
AR-130-190122,31,115,100,0.26956521739130435,B1
AR-130-190307,55,169,150,0.3254437869822485,B1
AR-130-190317,24,153,150,0.1568627450980392,B1
AR-130-190447,12,171,150,0.07017543859649122,C1
AR-130-190745,34,92,50,0.3695652173913043,B1
AR-130-190808,7,146,100,0.04794520547945205,B1
AR-130-190855,44,151,150,0.2913907284768212,B2
AR-130-190863,40,142,100,0.28169014084507044,B1
AR-130-191075,10,67,50,0.14925373134328357,B1
AR-130-191088,14,93,50,0.15053763440860216,B1
AR-130-191115,34,183,150,0.18579234972677597,B1
AR-130-191242,18,112,100,0.16071428571428573,B2
AR-130-191743,40,207,200,0.1932367149758454,B1
AR-130-191794,23,162,150,0.1419753086419753,B2
AR-130-191809,20,139,100,0.14388489208633093,B1
AR-130-191850,32,148,150,0.21621621621621623,B1
AR-130-192155,19,97,50,0.1958762886597938,B1
AR-130-192218,20,124,100,0.16129032258064516,B1
AR-130-192387,21,71,50,0.29577464788732394,B1
AR-130-192490,37,152,150,0.24342105263157895,B2
AR-130-192528,34,134,100,0.2537313432835821,B1
AR-130-192582,21,42,0,0.5,B1
AR-130-192654,21,131,100,0.16030534351145037,B2
AR-130-192696,48,158,150,0.3037974683544304,B1
AR-130-192707,21,151,150,0.1390728476821192,B2
AR-130-192747,37,154,150,0.24025974025974026,B1
AR-130-192751,28,102,100,0.27450980392156865,B1
AR-130-192885,41,125,100,0.328,B1
AR-130-192922,24,102,100,0.23529411764705882,B1
AR-130-192949,37,123,100,0.3008130081300813,B1
AR-130-193363,41,111,100,0.36936936936936937,B1
AR-130-193451,41,116,100,0.35344827586206895,B1
AR-130-193838,39,102,50,0.38235294117647056,B1
AR-130-194708,3,33,0,0.09090909090909091,B1
AR-130-194718,37,227,200,0.16299559471365638,B2
AR-130-195100,31,134,100,0.23134328358208955,B1
AR-130-19632,31,86,50,0.36046511627906974,B1
AR-130-197835,117,385,350,0.3038961038961039,B2
AR-130-197898,25,107,100,0.2336448598130841,B2
AR-130-198249,38,161,150,0.2360248447204969,B2
AR-130-19883,23,148,100,0.1554054054054054,B1
AR-130-199101,113,285,250,0.39649122807017545,B2
AR-130-19921,47,183,150,0.2568306010928962,B1
AR-130-199634,37,182,150,0.2032967032967033,B2
AR-130-199747,30,184,150,0.16304347826086957,B2
AR-130-199818,21,110,100,0.19090909090909092,B1
AR-130-287997,21,106,100,0.19811320754716982,B1
AR-130-288874,17,69,50,0.2463768115942029,B2
AR-130-289073,18,73,50,0.2465753424657534,B1
AR-130-289115,7,43,0,0.16279069767441862,A2
AR-130-289903,31,89,50,0.34831460674157305,B1
AR-130-292703,0,5,0,0.0,Unassessable
AR-130-294255,75,209,200,0.3588516746411483,B1
AR-130-68830,5,85,50,0.058823529411764705,B1
AR-130-80566,45,150,150,0.3,B2
AR-130-80816,48,156,150,0.3076923076923077,B1
AR-130-80823,61,184,150,0.33152173913043476,B2
AR-130-81303,28,161,150,0.17391304347826086,B1
AR-130-81425,32,93,50,0.34408602150537637,B1
AR-130-81723,77,259,250,0.2972972972972973,B2
AR-130-81912,6,18,0,0.3333333333333333,Unassessable
AR-130-81924,33,165,150,0.2,B2
AR-130-81952,99,230,200,0.43043478260869567,B2
AR-130-81953,4,129,100,0.031007751937984496,B2
AR-130-82310,92,200,150,0.46,B1
AR-130-82421,53,181,150,0.292817679558011,B2
AR-130-82659,31,121,100,0.256198347107438,B1
AR-130-82673,63,182,150,0.34615384615384615,B1
AR-130-82789,22,108,100,0.2037037037037037,B2
AR-130-83139,27,94,50,0.2872340425531915,B1
AR-130-83165,48,154,150,0.3116883116883117,B1
AR-130-83576,48,126,100,0.38095238095238093,B1
AR-130-83847,6,11,0,0.5454545454545454,Unassessable
AR-130-83934,16,125,100,0.128,B1
AR-130-84014,51,196,150,0.2602040816326531,B1
AR-130-84446,32,206,200,0.1553398058252427,B2
AR-130-84488,67,170,150,0.3941176470588235,B1
AR-130-84627,27,146,100,0.18493150684931506,B2
AR-130-84660,41,149,100,0.2751677852348993,B1
AR-130-84687,7,35,0,0.2,B1
AR-130-84846,50,183,150,0.273224043715847,B2
AR-130-85294,24,245,200,0.09795918367346938,C1
AR-130-85331,56,159,150,0.3522012578616352,B2
AR-130-85466,28,159,150,0.1761006289308176,B1
AR-130-85828,49,102,100,0.4803921568627451,B1
AR-130-86032,80,285,250,0.2807017543859649,B2
AR-130-86741,20,127,100,0.15748031496062992,B1
AR-130-86817,13,253,200,0.05138339920948617,B2
AR-130-87139,7,31,0,0.22580645161290322,A2
AR-130-87491,56,221,200,0.25339366515837103,B1
AR-130-87760,33,187,150,0.17647058823529413,C1
AR-130-88375,26,109,100,0.23853211009174313,B1
AR-130-88399,25,95,50,0.2631578947368421,B1
AR-130-88780,8,74,50,0.10810810810810811,B2
AR-130-89064,69,232,200,0.2974137931034483,B2
AR-130-89381,30,155,150,0.1935483870967742,B2
AR-130-89391,52,164,150,0.3170731707317073,B2
AR-130-89415,2,13,0,0.15384615384615385,Unassessable
AR-130-89587,27,205,200,0.13170731707317074,B1
AR-130-89591,45,147,100,0.30612244897959184,B1
AR-130-89653,60,146,100,0.410958904109589,B1
AR-130-89674,37,121,100,0.30578512396694213,B1
AR-130-89676,53,326,300,0.16257668711656442,B2
AR-130-89774,73,173,150,0.42196531791907516,B2
AR-130-90095,19,77,50,0.24675324675324675,B1
AR-130-90250,32,163,150,0.19631901840490798,B2
AR-130-90308,44,119,100,0.3697478991596639,B1
AR-130-90411,69,166,150,0.41566265060240964,B2
AR-130-90530,45,164,150,0.27439024390243905,B2
AR-130-90626,34,156,150,0.21794871794871795,B1
AR-130-90783,7,177,150,0.03954802259887006,B2
AR-130-90813,37,220,200,0.16818181818181818,B1
AR-130-90873,59,186,150,0.3172043010752688,B1
AR-130-91028,26,86,50,0.3023255813953488,B1
AR-130-91113,14,178,150,0.07865168539325842,B2
AR-130-91241,23,177,150,0.12994350282485875,B2
AR-130-91256,114,329,300,0.3465045592705167,B1
AR-130-91347,15,162,150,0.09259259259259259,B2
AR-130-91705,49,155,150,0.3161290322580645,B2
AR-130-92103,16,102,100,0.1568627450980392,B1
AR-130-92132,25,136,100,0.18382352941176472,B2
AR-130-92245,39,191,150,0.20418848167539266,B1
AR-130-92581,19,156,150,0.12179487179487179,B1
AR-130-92771,37,108,100,0.3425925925925926,B1
AR-130-92844,23,126,100,0.18253968253968253,B2
AR-130-92874,29,115,100,0.25217391304347825,B1
AR-130-92903,50,177,150,0.2824858757062147,B1
AR-130-92956,45,231,200,0.19480519480519481,C1
AR-130-92988,53,235,200,0.225531914893617,B1
AR-130-93034,58,198,150,0.29292929292929293,B1
AR-130-93037,31,213,200,0.14553990610328638,B2
AR-130-93285,35,94,50,0.3723404255319149,B1
AR-130-93459,60,186,150,0.3225806451612903,B1
AR-130-93749,45,155,100,0.2903225806451613,B2
AR-130-94052,57,289,250,0.1972318339100346,B1
AR-130-94320,53,218,200,0.24311926605504589,B2
AR-130-94968,85,231,200,0.36796536796536794,B1
AR-130-94976,43,231,200,0.18614718614718614,C1
AR-130-95365,107,297,250,0.3602693602693603,B2
AR-130-95601,98,324,300,0.30246913580246915,B2
AR-130-95626,102,278,250,0.3669064748201439,C1
AR-130-95796,12,227,200,0.05286343612334802,C1
AR-130-95921,57,309,300,0.18446601941747573,B1
AR-130-95973,25,87,50,0.28735632183908044,B1
AR-130-96120,24,273,250,0.08791208791208792,C1
AR-130-96463,22,142,100,0.15492957746478872,B2
AR-130-96479,27,248,250,0.10887096774193548,C1
AR-130-96682,62,166,150,0.37349397590361444,B2
AR-130-96735,55,187,150,0.29411764705882354,B1
AR-130-96882,34,139,100,0.2446043165467626,B1
AR-130-96883,22,183,150,0.12021857923497267,C1
AR-130-97035,76,227,200,0.33480176211453744,B2
AR-130-97236,77,327,350,0.23547400611620795,B2
AR-130-97412,79,308,300,0.2564935064935065,B1
AR-130-97455,43,248,200,0.17338709677419356,B2
AR-130-97525,91,288,250,0.3159722222222222,B2
AR-130-97652,38,250,200,0.152,B2
AR-130-97726,61,174,150,0.3505747126436782,B2
AR-130-97823,32,239,200,0.13389121338912133,C1
AR-130-97827,30,151,150,0.1986754966887417,B2
AR-130-97841,16,151,150,0.10596026490066225,B2
AR-130-97908,16,182,150,0.08791208791208792,B2
AR-130-97947,29,69,50,0.42028985507246375,B1
AR-130-97981,40,161,150,0.2484472049689441,B2
AR-130-98023,29,120,100,0.24166666666666667,B1
AR-130-98089,48,156,150,0.3076923076923077,B2
AR-130-98135,54,230,200,0.23478260869565218,B2
AR-130-98148,9,113,100,0.07964601769911504,B2
AR-130-98231,16,153,150,0.10457516339869281,B2
AR-130-98572,28,170,150,0.16470588235294117,B2
AR-130-98675,26,216,200,0.12037037037037036,B2
AR-130-98795,22,296,250,0.07432432432432433,B2
AR-130-98853,65,220,200,0.29545454545454547,B2
AR-130-99025,36,143,100,0.2517482517482518,B2
AR-130-99201,17,85,50,0.2,B1
AR-130-99351,35,159,150,0.22012578616352202,B2
AR-130-99438,12,236,200,0.05084745762711865,B2
AR-130-99442,44,182,150,0.24175824175824176,B2
AR-130-99590,14,102,100,0.13725490196078433,B1
AR-130-99787,25,120,100,0.20833333333333334,B1
